Num,Site,FM,Date,Season,SnailData_year,Cluster,LakeYN,lat,long,AreaPrawn,PercMud,PercOther,PercEmerg,StemsAvgSite,VegMassAvgSite,Nitrate,Secchi,pH,Phosphate,BulinusAvgDensSite,BiomphAvgDensSite,LymnAvgDensSite,ShSnailPrevSite,SmSnailPrevSite,StemsTotalSite,VegMassSite,BulinusTotalSite,BiomphTotalSite,LymnTotalSite,ShSnailTotalSite,ShSnailDensSite,SmSnailTotalSite,SmSnailDensSite,Site1,Village,VillageCode,Pop
1,Diokhor 1,1,30-May-16,May,1,1,1,16.188572,-15.882834,1790.325618,57,40,3,0.09,896.2142857,3.05,64,7.25,0.22,9.855624544,1.780719022,0.308349614,0,0,161.1293056,1604515.395,17644.7771,3188.066883,552.0462136,0,0,0,0,Diokhor 1,Diokhor,DT,1067
2,Diokhor 1,2,7-Sep-16,Aug,1,1,1,16.188533,-15.882623,1790.325618,48,47,5,0,850.7368421,1.76,55,7.05,0.51,0.572069679,0,0.572069679,0,0,0,1523095.963,1024.191002,0,1024.191002,0,0,0,0,Diokhor 1,Diokhor,DT,1067
3,Diokhor 1,3,19-Jan-17,Jan,1,1,1,16.18869744,-15.8826094,1790.325618,50,20,30,0.5,152.5,3.02,43,7.05,0.06,16.59306361,1.07922365,13.35539266,0.003896104,0,895.162809,273024.6567,29706.98687,1932.161748,23910.50163,115.7415073,0.0646483,0,0,Diokhor 1,Diokhor,DT,1067
4,Diokhor 1,4,29-May-17,May,2,1,1,16.18865134,-15.88283954,1949.941803,20,35,45,0.707142857,549.8095238,0.72,46,NA,0.42,15.66801477,0.535757455,4.103619449,0,0,1378.887418,1072096.574,30551.71697,1044.695857,8001.819107,0,0,0,0,Diokhor 1,Diokhor,DT,1067
5,Diokhor 1,5,31-Jul-17,Aug,2,1,1,16.18867351,-15.88297536,1997.127588,50,20,30,0.7,613.75,2.8,46,6.95,0.17,7.014953723,0,0.573337564,0.033333333,0,1397.989312,1225737.057,14009.75761,0,1145.028266,466.9919203,0.233831791,0,0,Diokhor 1,Diokhor,DT,1067
6,Diokhor 1,6,18-Jan-18,Jan,2,1,1,16.18877597,-15.88262138,1767.789486,17,5,77,2.488888889,1,4.1,49,6.7,0.19,19.21617665,0,0.209849043,0,0,4399.83161,1767.789486,33970.15505,0,370.9689318,0,0,0,0,Diokhor 1,Diokhor,DT,1067
7,Diokhor 2,1,30-May-16,May,1,1,1,16.189422,-15.882684,1505.120861,64,12,24,1.32,0.6,3.5,43,7.25,0.48,0.64753419,0,0,0,0,1986.759537,903.0725166,974.6172173,0,0,0,0,0,0,Diokhor 2,Diokhor,DT,1067
8,Diokhor 2,2,7-Sep-16,Aug,1,1,1,16.189477,-15.882723,1505.120861,35,20,45,1.35,366.1761905,0.88,32,7.1,2.5,1.779434232,0.173446658,3.507476861,0,0,2031.913162,551139.4231,2678.263583,261.0581832,5279.176594,0,0,0,0,Diokhor 2,Diokhor,DT,1067
9,Diokhor 2,3,19-Jan-17,Jan,1,1,1,16.18943569,-15.88247198,1505.120861,57,5,37,1.046464646,203.969697,4.3,31,7.05,0.15,0,0,0.990196783,0,0,1575.05577,306999.0459,0,0,1490.365835,0,0,0,0,Diokhor 2,Diokhor,DT,1067
10,Diokhor 2,4,29-May-17,May,2,1,1,16.18952478,-15.88281078,1549.651502,30,20,50,1.4375,204.4583333,0.84,41,NA,0.7,0.674514781,0.168628695,0.168628695,0,0,2227.624034,316839.1633,1045.262844,261.3157109,261.3157109,0,0,0,0,Diokhor 2,Diokhor,DT,1067
11,Diokhor 2,5,31-Jul-17,Aug,2,1,1,16.18960324,-15.88270037,1571.940171,65,10,25,0.5625,87.025,NA,42,NA,0.91,0,0,0.674514781,0,0,884.2163462,136798.0934,0,0,1060.29688,0,0,0,0,Diokhor 2,Diokhor,DT,1067
12,Diokhor 2,6,18-Jan-18,Jan,2,1,1,16.18956506,-15.88280055,1474.451664,55,5,40,1.4,1,4,37,6.65,0.42,0.359741217,0,0,0,0,2064.23233,1474.451664,530.4210354,0,0,0,0,0,0,Diokhor 2,Diokhor,DT,1067
13,Diokoul 1,1,24-May-16,May,1,2,1,15.965183,-15.966866,4642.764217,93,4,3,0.15,24,3.9,43,7.5,0.46,0,0,0,0,0,696.4146326,111426.3412,0,0,0,0,0,0,0,Diokoul 1,Diokoul,DF,458
14,Diokoul 1,2,8-Sep-16,Aug,1,2,1,15.965219,-15.966901,4642.764217,78,17,5,0.1,211.325,1.8,64,7.5,0.35,0.930830398,0,0.229335026,0,0,464.2764217,981132.1482,4321.626063,0,1064.74845,0,0,0,0,Diokoul 1,Diokoul,DF,458
15,Diokoul 1,3,30-Jan-17,Jan,1,2,1,15.9646177,-15.96745894,4642.764217,52,40,7,0.282828283,44.10774411,NA,52,7.4,0.03,0.181687483,0,0,0.404040404,0,1313.105031,204781.856,843.5321453,0,0,340.8210688,0.073409084,0,0,Diokoul 1,Diokoul,DF,458
16,Diokoul 1,4,26-May-17,May,2,2,1,15.96524967,-15.96690197,4742.114421,65,35,10,0.181818182,33.93939394,4.2,39,7.5,0.31,1.888641387,0,0.932056788,0,0,862.202622,160944.4894,8956.153557,0,4419.919937,0,0,0,0,Diokoul 1,Diokoul,DF,458
17,Diokoul 1,5,1-Aug-17,Aug,2,2,1,15.96464989,-15.96741083,4992.494717,55,30,15,0.375,218.4583333,2.6,55,NA,0.03,11.25690223,0,2.150952691,0,0,1872.185519,1090652.075,56200.02494,0,10738.61994,0,0,0,0,Diokoul 1,Diokoul,DF,458
18,Diokoul 1,6,19-Jan-18,Jan,2,2,1,15.96465535,-15.96736171,4597.253401,42,32,27,1.136138614,1,4.3,45,7.3,0.1,0.72126333,0,0,0,0,5223.117107,4597.253401,3315.830298,0,0,0,0,0,0,Diokoul 1,Diokoul,DF,458
19,Diokoul 2,1,24-May-16,May,1,2,1,15.966295,-15.965666,593.050882,69,6,26,0.514851485,182.0049505,3,57,7.55,0.28,0.026713457,0,0.026713457,0,0,305.3331274,107938.1964,15.84243904,0,15.84243904,0,0,0,0,Diokoul 2,Diokoul,DF,458
20,Diokoul 2,2,8-Sep-16,Aug,1,2,1,15.966344,-15.965727,593.050882,18,50,32,0.832,549.5085714,1.04,48,7.3,0.51,1.999647248,0,0.690703136,0,0,493.4183338,325886.543,1185.892564,0,409.6221039,0,0,0,0,Diokoul 2,Diokoul,DF,458
21,Diokoul 2,3,30-Jan-17,Jan,1,2,1,15.96615779,-15.96586052,593.050882,40,40,20,0.533333333,111.4285714,NA,46,7.5,0.06,1.07922365,0,0,0,0,316.2938037,66082.81257,640.0345373,0,0,0,0,0,0,Diokoul 2,Diokoul,DF,458
22,Diokoul 2,4,26-May-17,May,2,2,1,15.96628356,-15.96573275,621.490081,35,35,30,0.78,157.35,3.2,34,6.8,0.26,1.807699613,0,4.910467606,0,0,484.7622632,97791.46425,1123.467379,0,3051.80691,0,0,0,0,Diokoul 2,Diokoul,DF,458
23,Diokoul 2,5,1-Aug-17,Aug,2,2,1,15.96631194,-15.96571981,620.28625,32,40,22,0.390070922,524.1134752,2.4,46,7.75,0.24,7.080013305,0,2.257950189,0,0,241.9556294,325100.3821,4391.634903,0,1400.575455,0,0,0,0,Diokoul 2,Diokoul,DF,458
24,Diokoul 2,6,19-Jan-18,Jan,2,2,1,15.96626422,-15.96573547,572.685747,25,12,62,1.530864198,1,4.3,33,6.95,0.1,0.187743733,0,0.187743733,0,0,876.7041065,572.685747,107.5181597,0,107.5181597,0,0,0,0,Diokoul 2,Diokoul,DF,458
25,Foss,1,27-May-16,May,1,1,1,16.159783,-15.846643,3271.690983,81,0,19,0.961,16.2,1.92,55,7.95,0.2,0,0,0,0,0,3144.095035,53001.39392,0,0,0,0,0,0,0,Foss,Foss,FS,444
26,Foss,2,1-Sep-16,Aug,1,1,1,16.159677,-15.846484,3271.690983,78,7,22,0.890965732,116.7516284,0.68,27,7.45,0.19,0,0,0,0,0,2914.964552,381975.25,0,0,0,0,0,0,0,Foss,Foss,FS,444
27,Foss,3,20-Jan-17,Jan,1,1,1,16.15980858,-15.84593636,3271.690983,72,7,20,0.538720539,6.902356902,3.5,17,7.05,0.1,0,0,0,0,0,1762.527129,22582.37884,0,0,0,0,0,0,0,Foss,Foss,FS,444
28,Foss,4,6-Jun-17,May,2,1,1,16.15985687,-15.84656708,2608.602456,55,30,15,0.525,13.5,4.1,38,7.35,0.28,0,0,0,0,0,1369.516289,35216.13316,0,0,0,0,0,0,0,Foss,Foss,FS,444
