"","sampling_site","field_mission","NumQuadsSampled","AreaSampled","num_bulinus_clusters","area","site","PercentOtherVeg","OtherVegArea"
"1","Diokhor 1",1,15,5.516118,1,1161,"Diokhor1",40,464.4
"2","Diokhor 2",1,15,5.516118,1,1503,"Diokhor2",12,180.36
"3","Diokoul 1",1,16,5.8838592,0,2197,"Diokoul1",4,87.88
"4","Diokoul 2",1,15,5.516118,0,292,"Diokoul2",6,17.52
"5","Malla Tack 1",1,16,5.8838592,1,2061,"MallaTack1",19,391.59
"6","Malla Tack 2",1,15,5.516118,0,162,"MallaTack2",13,21.06
"7","Malla Tack 3",1,11,4.0451532,1,563,"MallaTack3",35,197.05
"8","Merina Gewel 1",1,13,4.7806356,0,500,"MerinaGewel1",0,0
"9","Merina Gewel 2",1,11,4.0451532,0,95.3,"MerinaGewel2",3,2.859
"10","Merina Gewel 3",1,10,3.677412,0,134,"MerinaGewel3",0,0
"11","Merina Gewel 4",1,16,5.8838592,0,680,"MerinaGewel4",1,6.8
"12","Ndiawdoune",1,15,5.516118,1,588,"Ndiawdoune",13,76.44
"13","Ndiol Maure",1,15,5.516118,2,1515,"NdiolMaure",10,151.5
"14","Syer 1",1,15,5.516118,2,1720,"Syer1",33,567.6
"15","Syer 2",1,14,5.1483768,0,1793,"Syer2",12,215.16
"16","Diokhor 1",2,14,5.1483768,0,1161,"Diokhor1",47,545.67
"17","Diokhor 2",2,15,5.516118,1,1503,"Diokhor2",20,300.6
"18","Diokoul 1",2,15,5.516118,1,2728,"Diokoul1",17,463.76
"19","Diokoul 2",2,15,5.516118,2,368,"Diokoul2",50,184
"20","Malla Tack 1",2,15,5.516118,0,1346,"MallaTack1",7,94.22
"21","Malla Tack 2",2,15,5.516118,0,206,"MallaTack2",10,20.6
"22","Malla Tack 3",2,15,5.516118,1,224,"MallaTack3",35,78.4
"23","Merina Gewel 1",2,15,5.516118,0,821,"MerinaGewel1",7,57.47
"24","Merina Gewel 2",2,15,5.516118,0,136,"MerinaGewel2",23,31.28
