unique_quad,field_mission,sampling_site,site_blind_number,sampling_date,obs1,obs2,mud_google_percent,emerg_google_percent,other_google_percent,mud_planned_reps,emerg_planned_reps,other_planned_reps,mud_obs1_percent,emerg_obs1_percent,other_obs1_percent,mud_obs2_percent,emerg_obs2_percent,other_obs2_percent,mud_obsavg_percent,emerg_obsavg_percent,other_obsavg_percent,mud_actual_reps,emerg_actual_reps,other_actual_reps,sampling_start_time_cleaned,eval_obs,flowmeter_rotations,secchi_depth_cm,temp_C,salinity_brix,pH,nitrate_mg.L_NO3,nitrite_mg.L_NO2,phosphate_mg.L_PO4,oxygen_mg.L_o2,point_ID,lat,long,microhabitat_type,depth_cm_cleaned_agg,typha,phrag,cyperus,poa_grass,ludwigia,nymphaea,salvinia,ceratophyllum,potamogeton,pistia,azolla,ipomea,lemna,emergent_stems_cleaned,floating_veg_g_cleaned,number_scoops,field_count_bulinus,date_plated,snail_is_trunc_globo,molec_conf_truncatus,molec_conf_globosus,molec_conf_schisto_haem,molec_conf_schisto_bovis,molec_conf_hybrid,molec_conf_non_schisto,bulinus_mean_shell_height,site_FM_combo,include_in_which_analyses
01-Aug-17_Diokoul 1_1,5,Diokoul 1,24,1-Aug-17,AC,Raph,74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,10:11,Raphael,3,55,29,0,NA,2.6,0.02,0.03,NA,1,15.96482326,-15.96743013,mud,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Diokoul 1_FM_5,include_all
01-Aug-17_Diokoul 1_14,5,Diokoul 1,24,1-Aug-17,AC,Raph,74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,10:11,Raphael,3,55,29,0,NA,2.6,0.02,0.03,NA,14,15.96516859,-15.96701339,other,30,0,0,0,0,0,1,0,0,1,0,0,0,0,0,250,3,3,2-Aug-17,3,0,0,0,0,0,0,5.26,Diokoul 1_FM_5,include_all
01-Aug-17_Diokoul 1_15,5,Diokoul 1,24,1-Aug-17,AC,Raph,74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,10:11,Raphael,3,55,29,0,NA,2.6,0.02,0.03,NA,15,15.96437338,-15.96749972,other,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,3,0,2-Aug-17,0,0,0,0,0,0,0,NA,Diokoul 1_FM_5,include_all
01-Aug-17_Diokoul 1_17,5,Diokoul 1,24,1-Aug-17,AC,Raph,74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,10:11,Raphael,3,55,29,0,NA,2.6,0.02,0.03,NA,17,15.96512294,-15.96710426,mud,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Diokoul 1_FM_5,include_all
01-Aug-17_Diokoul 1_19,5,Diokoul 1,24,1-Aug-17,AC,Raph,74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,10:11,Raphael,3,55,29,0,NA,2.6,0.02,0.03,NA,19,15.96512537,-15.96700902,other,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,225,3,11,2-Aug-17,10,0,0,0,0,0,0,5.116666667,Diokoul 1_FM_5,include_all
01-Aug-17_Diokoul 1_22,5,Diokoul 1,24,1-Aug-17,AC,Raph,74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,10:11,Raphael,3,55,29,0,NA,2.6,0.02,0.03,NA,22,15.96511046,-15.96704667,mud,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,0,,0,0,0,0,0,0,0,NA,Diokoul 1_FM_5,include_all
01-Aug-17_Diokoul 1_28,5,Diokoul 1,24,1-Aug-17,AC,Raph,74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,10:11,Raphael,3,55,29,0,NA,2.6,0.02,0.03,NA,28,15.96518888,-15.9670416,other,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2-Aug-17,1,0,0,0,0,0,0,5.24,Diokoul 1_FM_5,include_all
01-Aug-17_Diokoul 1_3,5,Diokoul 1,24,1-Aug-17,AC,Raph,74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,10:11,Raphael,3,55,29,0,NA,2.6,0.02,0.03,NA,3,15.96464989,-15.96741083,emergent,20,1,0,0,0,0,0,0,0,1,0,0,0,0,3,20,3,8,2-Aug-17,9,3,0,0,3,0,0,4.774444444,Diokoul 1_FM_5,include_all
01-Aug-17_Diokoul 1_33,5,Diokoul 1,24,1-Aug-17,AC,Raph,74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,10:11,Raphael,3,55,29,0,NA,2.6,0.02,0.03,NA,33,15.96514418,-15.96693658,emergent,50,1,0,0,0,0,1,0,0,1,0,0,0,0,2,1100,3,31,2-Aug-17,31,0,0,0,0,0,0,4.612307692,Diokoul 1_FM_5,include_all
01-Aug-17_Diokoul 1_37,5,Diokoul 1,24,1-Aug-17,AC,Raph,74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,10:11,Raphael,3,55,29,0,NA,2.6,0.02,0.03,NA,37,15.96516465,-15.96702959,mud,28,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1600,3,2,2-Aug-17,2,0,0,0,0,0,0,5.375,Diokoul 1_FM_5,include_all
