variable,definition
unique_quad,unique identifier for each quadrat; consists of DATE SAMPLED_SITE NAME_QUADRAT#
field_mission,"number of field mission (1 = May/June 2016, 2 = Aug/Sep 2016, 3 = Jan 2017, 4 = May/June 2017, 5 = Jul/Aug 2017, 6 = Jan 2018)"
sampling_site,"site name + number (If there is only one water access point at a site, there will be no number. For example, Mbane is not Mbane 1, but Merina Gewel is Merina Gewel 1, 2, 3, and 4.)"
site_blind_number,the number assigned to the site so that the lab dissectors are blind to the identity of the site; usually they are numbered in the order that they are conducted
sampling_date,date on which sampling was conducted (DD-MONTHNAME-YY)
obs1,"first observer (i.e., one person who is visually estimating the percent cover of each microhabitat at each site; AC or Andy = Andrew Chamberlin, IJ = Isabel Jones, Raph = Raphael Ndione)"
obs2,"second observer (i.e., another person who is visually estimating the percent cover of each microhabitat at each site; AC or Andy = Andrew Chamberlin, Ana = Ana Garcia-Vedrenne, Chelsea or CW = Chelsea Wood, Chris = Christopher Haggerty, Dan = Daniel Metz, Giulio = Giulio De Leo, IJ, IZ, or Izzy = Isabel Jones, Omar = Omar Sow, Raph or Raphael = Raphael Ndione)"
mud_google_percent,"percent of site area covered in mud, according to estimates based on Google Earth imagery"
emerg_google_percent,"percent of site area covered in emergent vegetation, according to estimates based on Google Earth imagery"
other_google_percent,"percent of site area covered in ""other"" vegetation (i.e., non-emergent, usually floating), according to estimates based on Google Earth imagery"
mud_planned_reps,"the number of replicates we planned to conduct in mud microhabitat, based on percent cover estimates from Google Earth imagery"
emerg_planned_reps,"the number of replicates we planned to conduct in emergent vegetation microhabitat, based on percent cover estimates from Google Earth imagery"
other_planned_reps,"the number of replicates we planned to conduct in ""other"" vegetation (i.e., non-emergent, usually floating) microhabitat, based on percent cover estimates from Google Earth imagery"
mud_obs1_percent,"visual estimate of the percent cover of mud microhabitat within the boundaries of the site, according to observer 1"
emerg_obs1_percent,"visual estimate of the percent cover of emergent vegetation microhabitat within the boundaries of the site, according to observer 1"
other_obs1_percent,"visual estimate of the percent cover of ""other"" vegetation (i.e., non-emergent, usually floating) microhabitat within the boundaries of the site, according to observer 1"
mud_obs2_percent,"visual estimate of the percent cover of mud microhabitat within the boundaries of the site , according to observer 2"
emerg_obs2_percent,"visual estimate of the percent cover of emergent vegetation microhabitat within the boundaries of the site, according to observer 2"
other_obs2_percent,"visual estimate of the percent cover of ""other"" vegetation (i.e., non-emergent, usually floating) microhabitat within the boundaries of the site, according to observer 2"
mud_obsavg_percent,"visual estimate of the percent cover of mud microhabitat within the boundaries of the site, average of observer 1 and observer 2's estimates"
emerg_obsavg_percent,"visual estimate of the percent cover of emergent vegetation microhabitat within the boundaries of the site, average of observer 1 and observer 2's estimates"
other_obsavg_percent,"visual estimate of the percent cover of ""other"" vegetation (i.e., non-emergent, usually floating) microhabitat within the boundaries of the site, average of observer 1 and observer 2's estimates"
mud_actual_reps,"the number of replicates we actually conducted in mud microhabitat, based on the visual estimates of the two observers"
emerg_actual_reps,"the number of replicates we actually conducted in emergent vegetation microhabitat, based on the visual estimates of the two observers"
other_actual_reps,"the number of replicates we actually conducted in ""other"" vegetation (i.e., non-emergent, usually floating) microhabitat, based on the visual estimates of the two observers"
sampling_start_time_cleaned,"time at which wer began taking measurements of site-level characteristics (e.g., temperature, water chemistry)"
eval_obs,"the person who made measurements of site-level characteristics (e.g., temperature, water chemistry; Andy = Andrew Chamberlin, Ana = Ana Garcia-Vedrenne, Asan, Assane, and Asam = Assane Fall, Izzy = Isabel Jones, Jules = Jules Diop, Raph and Raphael = Raphael Ndione, S??? and Sidy = Sidy Bakhoum, Simon = Simon Senghor)"
