location,village,year,class,sex,individual_count,ShW,Sh,village_pop,ShW_2016,Sh_2016,site_area_m2,percent_mud,percent_nonemergent,percent_emergent,area_nonemergent_veg,area_mud,stem_count,veg_mass_mean,veg_mass_total,prevalence_Bulinus,Bulinus_density,infected_Bulinus_density,Bulinus_abundance,infected_Bulinus_abundance
river,Lampsar,2017,1,F,27,17.33333333,0.375,1623,64.51851852,0.777777778,2809.106098,50.94729457,19.47515596,29.57754947,164123.3381,429349.0675,7.769311935,892.3947149,2506831.435,0.071454434,21.68628212,0.277248252,60919.06734,778.8197563
river,Lampsar,2017,1,M,43,19.46428571,0.428571429,1623,63.79761905,0.720930233,2809.106098,50.94729457,19.47515596,29.57754947,164123.3381,429349.0675,7.769311935,892.3947149,2506831.435,0.071454434,21.68628212,0.277248252,60919.06734,778.8197563
river,Lampsar,2017,2,F,16,8.607142857,0.571428571,1623,33.40625,0.5625,2809.106098,50.94729457,19.47515596,29.57754947,164123.3381,429349.0675,7.769311935,892.3947149,2506831.435,0.071454434,21.68628212,0.277248252,60919.06734,778.8197563
river,Lampsar,2017,2,M,25,33.34,0.48,1623,72.42,0.92,2809.106098,50.94729457,19.47515596,29.57754947,164123.3381,429349.0675,7.769311935,892.3947149,2506831.435,0.071454434,21.68628212,0.277248252,60919.06734,778.8197563
river,Mbakhana,2018,1,F,19,6.842105263,0.368421053,1120,9.421052632,0.578947368,1299.886543,67.33333333,28.66666667,3.333333333,110488.8575,263468.0075,0.250688705,841.166588,1128438.231,0.009506833,69.57931578,0.077416356,93090.12567,99.13699288
river,Mbakhana,2018,1,M,19,2.105263158,0.263157895,1120,3.236842105,0.526315789,1299.886543,67.33333333,28.66666667,3.333333333,110488.8575,263468.0075,0.250688705,841.166588,1128438.231,0.009506833,69.57931578,0.077416356,93090.12567,99.13699288
river,Mbakhana,2018,2,F,22,5.136363636,0.272727273,1120,0.886363636,0.272727273,1299.886543,67.33333333,28.66666667,3.333333333,110488.8575,263468.0075,0.250688705,841.166588,1128438.231,0.009506833,69.57931578,0.077416356,93090.12567,99.13699288
river,Mbakhana,2018,2,M,13,44.88461538,0.461538462,1120,22.53846154,0.692307692,1299.886543,67.33333333,28.66666667,3.333333333,110488.8575,263468.0075,0.250688705,841.166588,1128438.231,0.009506833,69.57931578,0.077416356,93090.12567,99.13699288
river,Mbakhana,2018,3,F,11,3.045454545,0.363636364,1120,4.090909091,0.454545455,1299.886543,67.33333333,28.66666667,3.333333333,110488.8575,263468.0075,0.250688705,841.166588,1128438.231,0.009506833,69.57931578,0.077416356,93090.12567,99.13699288
river,Mbakhana,2018,3,M,11,2.545454545,0.727272727,1120,19.72727273,0.636363636,1299.886543,67.33333333,28.66666667,3.333333333,110488.8575,263468.0075,0.250688705,841.166588,1128438.231,0.009506833,69.57931578,0.077416356,93090.12567,99.13699288
river,Mbarigot,2017,1,F,22,0.214285714,0.047619048,1316,10.97727273,0.454545455,639.491518,53.53217085,24.15817319,22.1523489,46346.84054,102700.1076,1.547309974,133.0627514,85092.50087,0.128917668,22.3489982,1.230292262,14291.99478,786.7614664
river,Mbarigot,2017,1,M,22,2.944444444,0.222222222,1316,8.977272727,0.409090909,639.491518,53.53217085,24.15817319,22.1523489,46346.84054,102700.1076,1.547309974,133.0627514,85092.50087,0.128917668,22.3489982,1.230292262,14291.99478,786.7614664
river,Mbarigot,2017,2,F,18,2.388888889,0.166666667,1316,2,0.388888889,639.491518,53.53217085,24.15817319,22.1523489,46346.84054,102700.1076,1.547309974,133.0627514,85092.50087,0.128917668,22.3489982,1.230292262,14291.99478,786.7614664
river,Mbarigot,2017,2,M,15,2.7,0.2,1316,6.4,0.533333333,639.491518,53.53217085,24.15817319,22.1523489,46346.84054,102700.1076,1.547309974,133.0627514,85092.50087,0.128917668,22.3489982,1.230292262,14291.99478,786.7614664
river,Mbarigot,2017,3,F,21,0.05,0.1,1316,20.47619048,0.428571429,639.491518,53.53217085,24.15817319,22.1523489,46346.84054,102700.1076,1.547309974,133.0627514,85092.50087,0.128917668,22.3489982,1.230292262,14291.99478,786.7614664
river,Mbarigot,2017,3,M,21,0.921052632,0.263157895,1316,13.5,0.428571429,639.491518,53.53217085,24.15817319,22.1523489,46346.84054,102700.1076,1.547309974,133.0627514,85092.50087,0.128917668,22.3489982,1.230292262,14291.99478,786.7614664
river,Ndiawdoune,2017,1,F,24,2.125,0.291666667,1542,21.3125,0.541666667,1376.015389,58,21,21,86688.96951,239426.6777,3.599166667,1213.832917,1670252.773,0,49.58133317,0,68224.67745,0
river,Ndiawdoune,2017,1,M,27,0.84,0.32,1542,49.90740741,0.62962963,1376.015389,58,21,21,86688.96951,239426.6777,3.599166667,1213.832917,1670252.773,0,49.58133317,0,68224.67745,0
