"","Model","AIC","BIC","Log_Lik","N_Params","Param","Max_Grad","Converg"
"1",NA,NA,NA,NA,NA,NA,NA,NA
"2","Base","18234.5065132502","18340.1579353428","9098.2532566251","19","Intercept","0.000886353221410729","The model is likely not converged"
"3","Base","18230.8277621552","18347.6003865734","9094.41388107762","21","cont_covar_secchi_depth_cm","0.000710827262949465","The model is likely not converged"
"4","Base","18237.3349299013","18354.1075543194","9097.66746495063","21","cont_covar_pH","0.00080912895727181","The model is likely not converged"
"5","Base","18231.0605776756","18347.8332020938","9094.53028883781","21","cont_covar_nitrate_mg.L_NO3","0.000406590583682113","The model is likely not converged"
"6","Base","18237.7704186859","18354.5430431041","9097.88520934297","21","cont_covar_nitrite_mg.L_NO2","0.000838575382928752","The model is likely not converged"
"7","Base","18235.944492135","18352.7171165531","9096.97224606748","21","cont_covar_phosphate_mg.L_PO4","0.000464225136344254","The model is likely not converged"
"8","Base","18220.8749820713","18337.6476064894","9089.43749103563","21","cont_covar_depth_cm_cleaned_agg","0.000632180548063101","The model is likely not converged"
"9","Base","18214.870432772","18342.7642595156","9084.43521638598","23","cont_covar_depth_cm_cleaned_agg, cont_covar_emergent_stems_cleaned","0.000465643143023217","The model is likely not converged"
"10","Base","17965.9331528678","18093.8269796114","8959.96657643388","23","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned","0.000642063442001539","The model is likely not converged"
"11","Base","17969.5329238126","18108.5479528818","8959.76646190631","25","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cont_covar_floating_vs_emergent","0.000917050954615917","The model is likely not converged"
"12","Base","17959.748436639","18098.7634657082","8954.8742183195","25","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_typha","0.000487929312043889","The model is likely not converged"
"13","Base","17969.6128494372","18108.6278785064","8959.80642471858","25","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_phrag","0.000662295486648645","The model is likely not converged"
"14","Base","17969.5117762807","18108.52680535","8959.75588814037","25","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_cyperus","0.00072286937757012","The model is likely not converged"
"15","Base","17969.0700519117","18108.0850809809","8959.53502595583","25","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_poa_grass","0.000820470502418402","The model is likely not converged"
"16","Base","17942.4052993746","18081.4203284439","8946.20264968732","25","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia","0.000508973454685702","The model is likely not converged"
"17","Base","17942.7814215323","18092.9176529271","8944.39071076616","27","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_nymphaea","0.000620794266438907","The model is likely not converged"
"18","Base","17941.8536361097","18091.9898675045","8943.92681805486","27","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_salvinia","0.000773396705341882","The model is likely not converged"
"19","Base","17844.9545022699","17995.0907336647","8895.47725113496","27","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_ceratophyllum","0.000394897247560545","The model is likely not converged"
"20","Base","17813.1384554025","17974.3958891228","8877.56922770124","29","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_ceratophyllum, cat_covar_potamogeton","0.000728359212814667","The model is likely not converged"
"21","Base","17809.4463378822","17981.824973928","8873.72316894109","31","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_ceratophyllum, cat_covar_potamogeton, cat_covar_pistia","0.000407046768856389","The model is likely not converged"
"22","Base","17806.2554841415","17978.6341201873","8872.12774207073","31","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_ceratophyllum, cat_covar_potamogeton, cat_covar_azolla","0.000728892217550311","The model is likely not converged"
"23","Base","17816.4472564902","17988.825892536","8877.22362824509","31","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_ceratophyllum, cat_covar_potamogeton, cat_covar_ipomea","0.000470374522540203","The model is likely not converged"
"24","Base","17817.0753774882","17989.4540135341","8877.53768874412","31","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_ceratophyllum, cat_covar_potamogeton, cat_covar_lemna","0.00145512146383453","The model is likely not converged"
"25","Base","17793.9512195067","17966.3298555526","8865.97560975336","31","cont_covar_depth_cm_cleaned_agg, cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_ceratophyllum, cat_covar_potamogeton, cat_covar_lake_river","0.000597926392316595","The model is likely not converged"
"26","Backwards selection","Backwards selection","Backwards selection","Backwards selection","Backwards selection","Backwards selection","Backwards selection","Backwards selection"
"27","Base","17792.7742379789","17954.0316716992","8867.38711898947","29","cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_ceratophyllum, cat_covar_potamogeton, cat_covar_lake_river","0.000759459126214779","The model is likely not converged"
"28","Base","17956.3690912992","18106.5053226939","8951.18454564958","27","cat_covar_ludwigia, cat_covar_ceratophyllum, cat_covar_potamogeton, cat_covar_lake_river","0.000909006447411463","The model is likely not converged"
"29","Base","17809.5722963979","17959.7085277927","8877.78614819897","27","cont_covar_floating_veg_g_cleaned, cat_covar_ceratophyllum, cat_covar_potamogeton, cat_covar_lake_river","0.00061927074249013","The model is likely not converged"
"30","Base","17885.5682251556","18035.7044565503","8915.78411257779","27","cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_potamogeton, cat_covar_lake_river","0.00054264216151978","The model is likely not converged"
"31","Base","17835.250797927","17985.3870293217","8890.62539896348","27","cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_ceratophyllum, cat_covar_lake_river","0.000554773539477083","The model is likely not converged"
"32","Base","17812.3480071689","17962.4842385637","8879.17400358447","27","cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_ceratophyllum, cat_covar_potamogeton","0.00095968663870849","The model is likely not converged"
"33","Base","17792.7742379789","17954.0316716992","8867.38711898947","29","cont_covar_floating_veg_g_cleaned, cat_covar_ludwigia, cat_covar_ceratophyllum, cat_covar_potamogeton, cat_covar_lake_river","0.000759459126214779","The model is likely not converged"
