"","names","values","sd"
"1","beta0",2.12342968253376,0.304758074872232
"2","beta0",0.957885206171228,0.228200793239779
"3","beta0",0,0
"4","beta0",0,0
"5","beta_p-cont_covar_secchi_depth_cm",0,0
"6","beta_p-cont_covar_pH",0,0
"7","beta_p-cont_covar_nitrate_mg.L_NO3",0,0
"8","beta_p-cont_covar_nitrite_mg.L_NO2",0,0
"9","beta_p-cont_covar_phosphate_mg.L_PO4",0,0
"10","beta_p-cont_covar_depth_cm_cleaned_agg",0,0
"11","beta_p-cont_covar_emergent_stems_cleaned",0,0
"12","beta_p-cont_covar_floating_veg_g_cleaned",-0.652898639557563,0.0741624196963305
"13","beta_p-cont_covar_floating_vs_emergent",0,0
"14","beta_p-cat_covar_typha",0,0
"15","beta_p-cat_covar_phrag",0,0
"16","beta_p-cat_covar_cyperus",0,0
"17","beta_p-cat_covar_poa_grass",0,0
"18","beta_p-cat_covar_ludwigia",-0.635334108703901,0.17038385574287
"19","beta_p-cat_covar_nymphaea",0,0
"20","beta_p-cat_covar_salvinia",0,0
"21","beta_p-cat_covar_ceratophyllum",-1.61784539879186,0.170900628716817
"22","beta_p-cat_covar_potamogeton",-1.51104201941092,0.229584092279122
"23","beta_p-cat_covar_pistia",0,0
"24","beta_p-cat_covar_azolla",0,0
"25","beta_p-cat_covar_ipomea",0,0
"26","beta_p-cat_covar_lemna",0,0
"27","beta_p-cat_covar_lake_river",1.44176992719449,0.354517279236839
"28","beta_c-cont_covar_secchi_depth_cm",0,0
"29","beta_c-cont_covar_pH",0,0
"30","beta_c-cont_covar_nitrate_mg.L_NO3",0,0
"31","beta_c-cont_covar_nitrite_mg.L_NO2",0,0
"32","beta_c-cont_covar_phosphate_mg.L_PO4",0,0
"33","beta_c-cont_covar_depth_cm_cleaned_agg",0,0
"34","beta_c-cont_covar_emergent_stems_cleaned",0,0
"35","beta_c-cont_covar_floating_veg_g_cleaned",0.400090405629606,0.0450715971968144
"36","beta_c-cont_covar_floating_vs_emergent",0,0
"37","beta_c-cat_covar_typha",0,0
"38","beta_c-cat_covar_phrag",0,0
"39","beta_c-cat_covar_cyperus",0,0
"40","beta_c-cat_covar_poa_grass",0,0
"41","beta_c-cat_covar_ludwigia",0.344049947891059,0.146236871137722
"42","beta_c-cat_covar_nymphaea",0,0
"43","beta_c-cat_covar_salvinia",0,0
"44","beta_c-cat_covar_ceratophyllum",0.358970037111356,0.173479980046393
"45","beta_c-cat_covar_potamogeton",0.295241126125806,0.199159476991432
"46","beta_c-cat_covar_pistia",0,0
"47","beta_c-cat_covar_azolla",0,0
"48","beta_c-cat_covar_ipomea",0,0
"49","beta_c-cat_covar_lemna",0,0
"50","beta_c-cat_covar_lake_river",-0.823632899742713,0.220399138611786
"51","sigmas",0.727892654808473,0.175857124699811
"52","sigmas",0.313506702462114,0.12070463444985
"53","sigmas",1,0
"54","sigmas",1,0
"55","sigmas",1.02926194614731,0.0528748222090344
"56","sigmas",1,0
"57","beta_y",0,0
"58","beta_y",0,0
"59","beta_y",0,0
"60","beta_y",0,0
"61","beta_y",0,0
"62","beta_y",0,0
"63","beta_y",0,0
"64","beta_y",0,0
"65","beta_y",0,0
"66","beta_y",0,0
"67","beta_y",0,0
"68","beta_y",0,0
"69","beta_y",0,0
"70","beta_y",0,0
"71","beta_y",0,0
"72","beta_y",0,0
"73","beta_y",0,0
"74","beta_y",0,0
"75","beta_y",0,0
"76","beta_y",0,0
"77","beta_y",0,0
"78","beta_y",0,0
"79","beta_y",0,0
"80","beta_y",0,0
"81","beta_y",0,0
"82","beta_y",0,0
"83","beta_y",0,0
"84","beta_y",0,0
"85","beta_y",0,0
"86","beta_y",0,0
"87","beta_y",0,0
"88","beta_y",0,0
"89","beta_y",0,0
"90","beta_y",0,0
"91","beta_y",0,0
"92","beta_y",0,0
"93","beta_y",0,0
"94","beta_y",0,0
"95","beta_y",0,0
"96","beta_y",0,0
"97","beta_y",0,0
"98","beta_y",0,0
"99","beta_y",0,0
"100","beta_y",0,0
"101","beta_y",0,0
"102","beta_y",0,0
"103","epsilon_mat",-0.87743476635605,0.341090831755094
"104","epsilon_mat",0.326848719353622,0.211859917670639
"105","epsilon_mat",0,0
"106","epsilon_mat",0,0
"107","epsilon_mat",-0.429651169600767,0.375561423942463
"108","epsilon_mat",-0.203340259628034,0.265088000186125
"109","epsilon_mat",0,0
"110","epsilon_mat",0,0
"111","epsilon_mat",-0.947323567449631,0.394988992191695
"112","epsilon_mat",0.298057887468666,0.279264598807865
