"","site","s_q","epsilon_s_p","epsilon_s_c","partial_response"
"1","Diokhor 1"," 0","-0.877434766","-4.296512e-01","1.3170727"
"2","Diokhor 2"," 1","-0.947323567","-4.607697e-01","1.2564009"
"3","Diokoul 1"," 2"," 0.218042815","-8.889632e-01","0.9773457"
"4","Diokoul 2"," 3","-0.092734287"," 4.074369e-01","3.4625455"
"5","Foss"," 4"," 0.653258374","-2.655666e-01","1.8812466"
"6","Gankette"," 5"," 0.044220939","-3.449817e-01","1.6562332"
"7","Guidik 1"," 6","-0.091353599"," 5.808268e-01","4.1187675"
"8","Guidik 2"," 7"," 0.628688026","-8.461041e-01","1.0512087"
"9","Guidik 3"," 8"," 0.609275198"," 3.753574e-01","3.5616621"
"10","Guidik 4"," 9"," 0.127279264","-4.680232e-01","1.4765718"
"11","Lampsar 1","10"," 0.281920921","-1.206827e-01","2.1187160"
"12","Lampsar 2","11"," 0.215767692","-6.316669e-02","2.2315176"
"13","Maka Diama 1","12"," 0.727388014"," 1.235723e+00","8.4775376"
"14","Maka Diama 2","13"," 0.743930283"," 3.437016e-01","3.4774358"
"15","Malla","14","-0.285702823","-2.103342e-01","1.8218256"
"16","Malla Tack 1","15","-0.484140806","-1.175647e+00","0.6735660"
"17","Malla Tack 2","16"," 0.326848719","-2.033403e-01","1.9577494"
"18","Malla Tack 3","17"," 0.298057887"," 5.440085e-02","2.5274720"
"19","Mbakhana","18"," 0.000000000","-1.431558e-05","2.3277007"
"20","Mbane 1","19"," 0.072855906"," 5.508925e-02","2.4781691"
"21","Mbane 3","20"," 0.079269278","-9.421271e-02","2.1358359"
"22","Mbarigot 1","21","-0.281156573","-8.429042e-02","2.0678429"
"23","Mbarigot 2","22"," 0.162661296","-1.451482e-01","2.0460601"
"24","Mbarigot 3","23"," 0.000000000"," 2.436641e-01","2.9699923"
"25","Merina Gewel 1","24"," 0.088007771","-1.575762e-01","2.0064373"
"26","Merina Gewel 2","25"," 0.368859725","-2.018811e-01","1.9670351"
"27","Merina Gewel 3","26"," 0.000000000","-1.896323e-01","1.9256488"
"28","Merina Gewel 4","27"," 0.436547147"," 2.989282e-01","3.2620293"
"29","Ndiawdoune","28"," 0.000000000"," 0.000000e+00","2.3277340"
"30","Ndiol Maure","29"," 0.000000000","-5.992473e-02","2.1923424"
"31","Syer 1","30","-0.003900535","-1.429617e-01","2.0168081"
"32","Syer 2","31"," 0.048549414"," 2.755922e-01","3.0819531"
"","Global",NA,"0","0","2.32773402226736"
