"","names","values","sd"
"1","beta0",2.13633048577842,0.30707260855378
"2","beta0",0.891569045180075,0.217193857555376
"3","beta0",0,0
"4","beta0",0,0
"5","beta_p-cont_covar_secchi_depth_cm",0,0
"6","beta_p-cont_covar_pH",0,0
"7","beta_p-cont_covar_nitrate_mg.L_NO3",0,0
"8","beta_p-cont_covar_nitrite_mg.L_NO2",0,0
"9","beta_p-cont_covar_phosphate_mg.L_PO4",0,0
"10","beta_p-cont_covar_depth_cm_cleaned_agg",0,0
"11","beta_p-cont_covar_emergent_stems_cleaned",0,0
"12","beta_p-cont_covar_floating_veg_g_cleaned",-0.649414618969587,0.0741895654700147
"13","beta_p-cont_covar_floating_vs_emergent",0,0
"14","beta_p-cat_covar_typha",0,0
"15","beta_p-cat_covar_phrag",0,0
"16","beta_p-cat_covar_cyperus",0,0
"17","beta_p-cat_covar_poa_grass",0,0
"18","beta_p-cat_covar_ludwigia",-0.639834918509183,0.170482161756465
"19","beta_p-cat_covar_nymphaea",0,0
"20","beta_p-cat_covar_salvinia",0,0
"21","beta_p-cat_covar_ceratophyllum",-1.61467987218289,0.171020648519027
"22","beta_p-cat_covar_potamogeton",-1.51118008287337,0.229564931403728
"23","beta_p-cat_covar_pistia",0,0
"24","beta_p-cat_covar_azolla",0,0
"25","beta_p-cat_covar_ipomea",0,0
"26","beta_p-cat_covar_lemna",0,0
"27","beta_p-cat_covar_lake_river",1.42958805313313,0.356484287209361
"28","beta_c-cont_covar_secchi_depth_cm",0,0
"29","beta_c-cont_covar_pH",0,0
"30","beta_c-cont_covar_nitrate_mg.L_NO3",0,0
"31","beta_c-cont_covar_nitrite_mg.L_NO2",0,0
"32","beta_c-cont_covar_phosphate_mg.L_PO4",0,0
"33","beta_c-cont_covar_depth_cm_cleaned_agg",0,0
"34","beta_c-cont_covar_emergent_stems_cleaned",0,0
"35","beta_c-cont_covar_floating_veg_g_cleaned",0.392301281245841,0.0435874555418124
"36","beta_c-cont_covar_floating_vs_emergent",0,0
"37","beta_c-cat_covar_typha",0,0
"38","beta_c-cat_covar_phrag",0,0
"39","beta_c-cat_covar_cyperus",0,0
"40","beta_c-cat_covar_poa_grass",0,0
"41","beta_c-cat_covar_ludwigia",0.373922301897136,0.141543111374206
"42","beta_c-cat_covar_nymphaea",0,0
"43","beta_c-cat_covar_salvinia",0,0
"44","beta_c-cat_covar_ceratophyllum",0.35019345501097,0.167133951139111
"45","beta_c-cat_covar_potamogeton",0.312498228679962,0.192439275112865
"46","beta_c-cat_covar_pistia",0,0
"47","beta_c-cat_covar_azolla",0,0
"48","beta_c-cat_covar_ipomea",0,0
"49","beta_c-cat_covar_lemna",0,0
"50","beta_c-cat_covar_lake_river",-0.745174980133967,0.205264501404826
"51","sigmas",0.732791989039982,0.176944211675434
"52","sigmas",0.272389031707449,0.11120846368127
"53","sigmas",1,0
"54","sigmas",1,0
"55","sigmas",0.997812674497212,0.0517386470241279
"56","sigmas",1,0
"57","beta_y",0,0
"58","beta_y",0,0
"59","beta_y",0,0
"60","beta_y",0,0
"61","beta_y",0,0
"62","beta_y",0,0
"63","beta_y",0,0
"64","beta_y",0,0
"65","beta_y",0,0
"66","beta_y",0,0
"67","beta_y",0,0
"68","beta_y",0,0
"69","beta_y",0,0
"70","beta_y",0,0
"71","beta_y",0,0
"72","beta_y",0,0
"73","beta_y",0,0
"74","beta_y",0,0
"75","beta_y",0,0
"76","beta_y",0,0
"77","beta_y",0,0
"78","beta_y",0,0
"79","beta_y",0,0
"80","beta_y",0,0
"81","beta_y",0,0
"82","beta_y",0,0
"83","beta_y",0,0
"84","beta_y",0,0
"85","beta_y",0,0
"86","beta_y",0,0
"87","beta_y",0,0
"88","beta_y",0,0
"89","beta_y",0,0
"90","beta_y",0,0
"91","beta_y",0,0
"92","beta_y",0,0
"93","beta_y",0,0
"94","beta_y",0,0
"95","beta_y",0,0
"96","beta_y",0,0
"97","beta_y",0,0
"98","beta_y",0,0
"99","beta_y",0,0
"100","beta_y",0,0
"101","beta_y",0,0
"102","beta_y",0,0
"103","epsilon_mat",-0.883317793407612,0.341882386195713
"104","epsilon_mat",0.3084556561815,0.20251729928776
"105","epsilon_mat",0,0
"106","epsilon_mat",0,0
"107","epsilon_mat",-0.431826772262862,0.376401834078963
"108","epsilon_mat",-0.184737800190772,0.243637445652151
"109","epsilon_mat",0,0
"110","epsilon_mat",0,0
"111","epsilon_mat",-0.950140830002592,0.395349778542483
"112","epsilon_mat",0.254396660061017,0.258735802507299
"113","epsilon_mat",0,0
"114","epsilon_mat",0,0
"115","epsilon_mat",-0.463534166697516,0.356884440314957
"116","epsilon_mat",0.0358564184633859,0.20571535667108
"117","epsilon_mat",0,0
"118","epsilon_mat",0,0
"119","epsilon_mat",0.220496101376698,0.671523225218346
"120","epsilon_mat",0,0.272389031707449
"121","epsilon_mat",0,0
"122","epsilon_mat",0,0
"123","epsilon_mat",-0.895478548331619,0.659087601481379
"124","epsilon_mat",-0.00493059128494728,0.256261126341658
"125","epsilon_mat",0,0
"126","epsilon_mat",0,0
"127","epsilon_mat",-0.0943899529726682,0.477556607823513
"128","epsilon_mat",0.0578047362402331,0.255602623075995
"129","epsilon_mat",0,0
"130","epsilon_mat",0,0
"131","epsilon_mat",0.408562844785923,0.503679281391861
"132","epsilon_mat",0.0418981616522361,0.262249036818595
"133","epsilon_mat",0,0
"134","epsilon_mat",0,0
"135","epsilon_mat",0.654620308630179,0.51031010582974
"136","epsilon_mat",0.0652798627333595,0.257870921492473
"137","epsilon_mat",0,0
"138","epsilon_mat",0,0
"139","epsilon_mat",-0.268902609057221,0.406965747201107
"140","epsilon_mat",-0.0848518744137332,0.224145330108979
"141","epsilon_mat",0,0
"142","epsilon_mat",0,0
"143","epsilon_mat",0.0328401940727033,0.392929920429932
"144","epsilon_mat",-0.218260538957361,0.23299130214526
"145","epsilon_mat",0,0
"146","epsilon_mat",0,0
"147","epsilon_mat",-0.356753308873019,0.413411690410884
"148","epsilon_mat",-0.0371565069471175,0.204275266383357
"149","epsilon_mat",0,0
"150","epsilon_mat",0,0
"151","epsilon_mat",-0.0993059818558642,0.523217147185114
"152","epsilon_mat",0.153275910045658,0.259130911630381
"153","epsilon_mat",0,0
"154","epsilon_mat",0,0
"155","epsilon_mat",0.578234805947243,0.563517905532853
"156","epsilon_mat",-0.11300994843412,0.274352153657582
"157","epsilon_mat",0,0
