"","site","s_q","epsilon_s_p","epsilon_s_c","partial_response"
"1","Diokhor 1"," 0","-0.88331779","-0.431826772","1.2318084"
"2","Diokhor 2"," 1","-0.95014083","-0.463534167","1.1753179"
"3","Diokoul 1"," 2"," 0.22049610","-0.895478548","0.9099111"
"4","Diokoul 2"," 3","-0.09438995"," 0.408562845","3.2482356"
"5","Foss"," 4"," 0.65462031","-0.268902609","1.7561302"
"6","Gankette"," 5"," 0.03284019","-0.356753309","1.5320614"
"7","Guidik 1"," 6","-0.09930598"," 0.578234806","3.8467090"
"8","Guidik 2"," 7"," 0.63329669","-0.850637255","0.9803288"
"9","Guidik 3"," 8"," 0.60992568"," 0.374365529","3.3325629"
"10","Guidik 4"," 9"," 0.20217468","-0.473938370","1.3847688"
"11","Lampsar 1","10"," 0.28498411","-0.130082732","1.9667958"
"12","Lampsar 2","11"," 0.20722926","-0.071817164","2.0711377"
"13","Maka Diama 1","12"," 0.73295764"," 1.242564873","7.9960357"
"14","Maka Diama 2","13"," 0.74916599"," 0.346577247","3.2668358"
"15","Malla","14","-0.29858599","-0.222139113","1.6849240"
"16","Malla Tack 1","15","-0.48763895","-1.179150291","0.6290990"
"17","Malla Tack 2","16"," 0.30845566","-0.184737800","1.8657154"
"18","Malla Tack 3","17"," 0.25439666"," 0.035856418","2.3159380"
"19","Mbakhana","18"," 0.00000000","-0.004930591","2.1706332"
"20","Mbane 1","19"," 0.05780474"," 0.041898162","2.2882729"
"21","Mbane 3","20"," 0.06527986","-0.084851874","2.0173694"
"22","Mbarigot 1","21","-0.21826054","-0.037156507","2.0490135"
"23","Mbarigot 2","22"," 0.15327591","-0.113009948","1.9779522"
"24","Mbarigot 3","23"," 0.00000000"," 0.212939784","2.6990215"
"25","Merina Gewel 1","24"," 0.07581917","-0.131787977","1.9268819"
"26","Merina Gewel 2","25"," 0.07421740","-0.178739484","1.8382121"
"27","Merina Gewel 3","26"," 0.00000000","-0.145245894","1.8864630"
"28","Merina Gewel 4","27"," 0.41172651"," 0.283536494","3.0035096"
"29","Ndiawdoune","28"," 0.00000000"," 0.000000000","2.1813622"
"30","Ndiol Maure","29"," 0.00000000","-0.048848634","2.0773663"
"31","Syer 1","30"," 0.04469059","-0.087206744","2.0084626"
"32","Syer 2","31"," 0.03732708"," 0.248446971","2.8074417"
"","Global",NA,"0","0","2.18136215413615"
