"","X","X.1","unique_quad","field_mission","sampling_site","site_blind_number","sampling_date","obs1","obs2","mud_google_percent","emerg_google_percent","other_google_percent","mud_planned_reps","emerg_planned_reps","other_planned_reps","mud_obs1_percent","emerg_obs1_percent","other_obs1_percent","mud_obs2_percent","emerg_obs2_percent","other_obs2_percent","mud_obsavg_percent","emerg_obsavg_percent","other_obsavg_percent","mud_actual_reps","emerg_actual_reps","other_actual_reps","sampling_start_time_cleaned","eval_obs","flowmeter_rotations","secchi_depth_cm","temp_C","salinity_brix","pH","nitrate_mg.L_NO3","nitrite_mg.L_NO2","phosphate_mg.L_PO4","oxygen_mg.L_o2","point_ID","lat","long","microhabitat_type","depth_cm_cleaned_agg","typha","phrag","cyperus","poa_grass","ludwigia","nymphaea","salvinia","ceratophyllum","potamogeton","pistia","azolla","ipomea","lemna","emergent_stems_cleaned","floating_veg_g_cleaned","number_scoops","field_count_biomph","field_count_bulinus","field_count_lymnaea","field_count_other","field_notes","date_plated","snail_voucher_values","lab_FTA_card","lab_notes","snail_photo_1","snail_photo_2","snail_photo_3","snail_photo_4","snail_photo_5","snail_photo_6","snail_photo_7","snail_photo_8","snail_photo_9","snail_photo_10","snail_photo_11","snail_photo_12","snail_photo_13","cerc_photo","snail_is_trunc_globo","snail_is_biomph","molec_conf_truncatus","molec_conf_globosus","molec_conf_schisto_haem","molec_conf_schisto_mans","molec_conf_schisto_bovis","molec_conf_hybrid","molec_conf_non_schisto","bulinus_mean_shell_height","biomph_mean_shell_height","site_FM_combo","include_in_which_analyses"
"1",1,1,"01-Aug-17_Diokoul 1_1",5,"Diokoul 1",24,"01-Aug-17","AC","Raph",74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,"10:11","Raphael",3,55,29,0,NA,2.6,0.02,0.03,NA,1,15.9648232629437,-15.9674301309181,"mud",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"","","--","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,"Diokoul 1_FM_5","include_all"
"2",2,2,"01-Aug-17_Diokoul 1_14",5,"Diokoul 1",24,"01-Aug-17","AC","Raph",74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,"10:11","Raphael",3,55,29,0,NA,2.6,0.02,0.03,NA,14,15.9651685922232,-15.9670133948464,"other",30,0,0,0,0,0,1,0,0,1,0,0,0,0,0,250,3,0,3,0,0,"1-10 melanoides","2-Aug-17","86-25-D2_86-25-D3_86-25-D4","__","","IMG_0162","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,0,0,5.26,NA,"Diokoul 1_FM_5","include_all"
"3",3,3,"01-Aug-17_Diokoul 1_15",5,"Diokoul 1",24,"01-Aug-17","AC","Raph",74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,"10:11","Raphael",3,55,29,0,NA,2.6,0.02,0.03,NA,15,15.9643733816355,-15.9674997218247,"other",10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,3,0,0,1,0,"10-100 melanoides. 1 dead mela","2-Aug-17","87-19-A1","","sporocysts","DSCN8171","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,"Diokoul 1_FM_5","include_all"
"4",4,4,"01-Aug-17_Diokoul 1_17",5,"Diokoul 1",24,"01-Aug-17","AC","Raph",74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,"10:11","Raphael",3,55,29,0,NA,2.6,0.02,0.03,NA,17,15.9651229448882,-15.9671042610386,"mud",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"10-100 melanoides","","--","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,"Diokoul 1_FM_5","include_all"
"5",5,5,"01-Aug-17_Diokoul 1_19",5,"Diokoul 1",24,"01-Aug-17","AC","Raph",74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,"10:11","Raphael",3,55,29,0,NA,2.6,0.02,0.03,NA,19,15.9651253724411,-15.9670090213583,"other",52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,225,3,0,11,0,0,"10-100 melanoides","2-Aug-17","86-5-B4_86-5-B5_86-5-B6_86-5-C1_86-5-C2_86-5-C3_86-5-C4_86-5-C5_86-5-C6_86-5-D1","_________","","IMG_0155","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,0,0,0,0,0,0,5.11666666666667,NA,"Diokoul 1_FM_5","include_all"
"6",6,6,"01-Aug-17_Diokoul 1_22",5,"Diokoul 1",24,"01-Aug-17","AC","Raph",74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,"10:11","Raphael",3,55,29,0,NA,2.6,0.02,0.03,NA,22,15.9651104618512,-15.9670466653057,"mud",42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,0,0,0,0,"10-100 melanoides","","--","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,"Diokoul 1_FM_5","include_all"
"7",7,7,"01-Aug-17_Diokoul 1_28",5,"Diokoul 1",24,"01-Aug-17","AC","Raph",74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,"10:11","Raphael",3,55,29,0,NA,2.6,0.02,0.03,NA,28,15.9651888844803,-15.9670415981762,"other",13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"10-100 melanoides","2-Aug-17","87-40-A4_87-40-A5_88-40-A1","__","","IMG_0073","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,5.24,NA,"Diokoul 1_FM_5","include_all"
"8",8,8,"01-Aug-17_Diokoul 1_3",5,"Diokoul 1",24,"01-Aug-17","AC","Raph",74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,"10:11","Raphael",3,55,29,0,NA,2.6,0.02,0.03,NA,3,15.9646498850403,-15.967410833305,"emergent",20,1,0,0,0,0,0,0,0,1,0,0,0,0,3,20,3,0,8,0,0,"10-100 melanoides","2-Aug-17","86-1-A1_86-1-A2_86-1-A3_86-1-A4_86-1-A5_86-1-A6_86-1-B1_86-1-B2_86-1-B3","__11c10r8-c10r12__11c11r1-c12r4__12c1r1-c1r10__","no sporocysts","IMG_0134","DSLR 4206-4210","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,3,0,0,0,3,0,0,4.77444444444444,NA,"Diokoul 1_FM_5","include_all"
"9",9,9,"01-Aug-17_Diokoul 1_33",5,"Diokoul 1",24,"01-Aug-17","AC","Raph",74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,"10:11","Raphael",3,55,29,0,NA,2.6,0.02,0.03,NA,33,15.9651441842393,-15.9669365823073,"emergent",50,1,0,0,0,0,1,0,0,1,0,0,0,0,2,1100,3,0,31,6,0,"10-100 melanoides","2-Aug-17","87-50-A6_87-50-B1_87-50-B2_87-50-B3_87-50-B4_87-50-B5_88-50-A2_88-50-A3_88-50-A4_88-50-A5_88-50-A6_88-50-B1_88-50-B2_88-50-B3_88-50-B4_88-50-B5_88-50-B6_88-50-C1_88-50-C2_88-50-C3_88-50-C4_88-50-C5_88-50-C6_88-50-D1_88-50-D2_88-50-D3_88-50-D4_88-50-D5_88-50-D6_89-50-A1_89-50-A2_89-50-A3_89-50-A4_89-50-A5_89-50-A6_89-50-B1_89-50-B2","___________9c10r1-c10r10_________________________","dead","IMG_0120","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,0,0,0,0,0,0,0,0,4.61230769230769,NA,"Diokoul 1_FM_5","include_all"
"10",10,10,"01-Aug-17_Diokoul 1_37",5,"Diokoul 1",24,"01-Aug-17","AC","Raph",74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,"10:11","Raphael",3,55,29,0,NA,2.6,0.02,0.03,NA,37,15.9651646475752,-15.9670295940043,"mud",28,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1600,3,0,2,2,0,"10-100 melanoides","2-Aug-17","86-17-D5_86-17-D6_87-17-A2_87-17-A3","___","","IMG_0166","DSCN8174","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,5.375,NA,"Diokoul 1_FM_5","include_all"
"11",11,11,"01-Aug-17_Diokoul 1_4",5,"Diokoul 1",24,"01-Aug-17","AC","Raph",74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,"10:11","Raphael",3,55,29,0,NA,2.6,0.02,0.03,NA,4,15.9647318624188,-15.9674275722192,"mud",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"10-100 melanoides","","--","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,"Diokoul 1_FM_5","include_all"
"12",12,12,"01-Aug-17_Diokoul 1_5",5,"Diokoul 1",24,"01-Aug-17","AC","Raph",74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,"10:11","Raphael",3,55,29,0,NA,2.6,0.02,0.03,NA,5,15.9650271224003,-15.9672526740284,"mud",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"10-100 melanoides","","--","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,"Diokoul 1_FM_5","include_all"
"13",13,13,"01-Aug-17_Diokoul 1_6",5,"Diokoul 1",24,"01-Aug-17","AC","Raph",74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,"10:11","Raphael",3,55,29,0,NA,2.6,0.02,0.03,NA,6,15.9649788196675,-15.9672552885709,"mud",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"10-100 melanoides","","--","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,"Diokoul 1_FM_5","include_all"
"14",14,14,"01-Aug-17_Diokoul 1_7",5,"Diokoul 1",24,"01-Aug-17","AC","Raph",74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,"10:11","Raphael",3,55,29,0,NA,2.6,0.02,0.03,NA,7,15.9650951728418,-15.9671437144412,"mud",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"10-100 melanoides","","--","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,"Diokoul 1_FM_5","include_all"
