"","variable","n_mismatch","merged_vars","aggregated_mismatch","point_ID_site_field_mission"
"1","emergent_stems_cleaned",0,"","",""
"2","floating_veg_g_cleaned",0,"","",""
"3","secchi_depth_cm",0,"","",""
"4","pH",0,"","",""
"5","nitrate_mg.L_NO3",0,"","",""
"6","nitrite_mg.L_NO2",0,"","",""
"7","phosphate_mg.L_PO4",0,"","",""
"8","typha",0,"","",""
"9","phrag",0,"","",""
"10","cyperus",0,"","",""
"11","poa_grass",0,"","",""
"12","ludwigia",0,"","",""
"13","nymphaea",0,"","",""
"14","salvinia",0,"","",""
"15","ceratophyllum",0,"","",""
"16","potamogeton",0,"","",""
"17","pistia",0,"","",""
"18","azolla",0,"","",""
"19","ipomea",0,"","",""
"20","lemna",0,"","",""
