"","site","field_mission","emergent_stems_cleaned","floating_veg_g_cleaned","secchi_depth_cm","pH","nitrate_mg.L_NO3","nitrite_mg.L_NO2","phosphate_mg.L_PO4","typha","phrag","cyperus","poa_grass","ludwigia","nymphaea","salvinia","ceratophyllum","potamogeton","pistia","azolla","ipomea","lemna"
"1","Maka Diama 1",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"109","Ndiawdoune",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"283","Maka Diama 2",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"285","Mbakhana",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"1455","Lampsar 2",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"1532","Ndiol Maure",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"1536","Lampsar 1",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"1641","Mbarigot 1",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"1642","Mbarigot 2",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"1646","Mbarigot 3",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"1747","Gankette",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"1769","Merina Gewel 4",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"1800","Merina Gewel 2",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"1854","Merina Gewel 1",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"1874","Merina Gewel 3",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"1893","Diokoul 2",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"1902","Diokoul 1",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"1917","Malla",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"2609","Guidik 3",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"2650","Guidik 1",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"2784","Guidik 2",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"2956","Mbane 1",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"2966","Guidik 4",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"2994","Mbane 3",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"3073","Malla Tack 1",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"3074","Malla Tack 2",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"3129","Foss",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"3165","Diokhor 1",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"3189","Diokhor 2",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"3391","Syer 1",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"3410","Syer 2",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"3538","Malla Tack 3",1,1,0.596244131455399,1,1,1,1,1,0.699530516431925,1,1,1,0.84037558685446,1,0.676056338028169,0.666666666666667,1,0.981220657276995,1,1,1
"3659","Mbakhana",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"3776","Ndiawdoune",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"3980","Lampsar 1",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"4026","Lampsar 2",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"4124","Mbarigot 1",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"4175","Mbarigot 2",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"4282","Mbarigot 3",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"4318","Ndiol Maure",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"4442","Syer 1",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"4457","Syer 2",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"4521","Guidik 1",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"4537","Guidik 2",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"4553","Guidik 3",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"4568","Guidik 4",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"4604","Malla Tack 1",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"4619","Malla Tack 2",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"4634","Malla Tack 3",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"4651","Foss",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"4666","Mbane 1",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"4762","Maka Diama 1",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"4818","Maka Diama 2",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"4837","Gankette",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"5051","Merina Gewel 4",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"5097","Merina Gewel 1",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"5112","Merina Gewel 2",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"5137","Merina Gewel 3",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"5153","Diokhor 1",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"5170","Diokhor 2",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"5226","Malla",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"5241","Diokoul 1",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"5261","Diokoul 2",2,0.660714285714286,0.25,1,1,1,1,1,0.75,0.910714285714286,1,1,0.660714285714286,1,1,0.928571428571429,1,1,0.821428571428571,0.803571428571429,1
"5295","Mbakhana",3,0.963414634146341,0.780487804878049,1,1,1,1,1,0.98780487804878,0.975609756097561,1,1,0.853658536585366,1,1,0.841463414634146,1,1,0.817073170731707,0.963414634146341,1
"5330","Ndiawdoune",3,0.963414634146341,0.780487804878049,1,1,1,1,1,0.98780487804878,0.975609756097561,1,1,0.853658536585366,1,1,0.841463414634146,1,1,0.817073170731707,0.963414634146341,1
"5422","Maka Diama 1",3,0.963414634146341,0.780487804878049,1,1,1,1,1,0.98780487804878,0.975609756097561,1,1,0.853658536585366,1,1,0.841463414634146,1,1,0.817073170731707,0.963414634146341,1
"5504","Maka Diama 2",3,0.963414634146341,0.780487804878049,1,1,1,1,1,0.98780487804878,0.975609756097561,1,1,0.853658536585366,1,1,0.841463414634146,1,1,0.817073170731707,0.963414634146341,1
"5581","Lampsar 1",3,0.963414634146341,0.780487804878049,1,1,1,1,1,0.98780487804878,0.975609756097561,1,1,0.853658536585366,1,1,0.841463414634146,1,1,0.817073170731707,0.963414634146341,1
"5625","Lampsar 2",3,0.963414634146341,0.780487804878049,1,1,1,1,1,0.98780487804878,0.975609756097561,1,1,0.853658536585366,1,1,0.841463414634146,1,1,0.817073170731707,0.963414634146341,1
"5801","Mbarigot 1",3,0.963414634146341,0.780487804878049,1,1,1,1,1,0.98780487804878,0.975609756097561,1,1,0.853658536585366,1,1,0.841463414634146,1,1,0.817073170731707,0.963414634146341,1
